,Rating,Description,no_contract,rating_description_str,tokenized,lower,no_punc,stopwords_removed,pos_tags,wordnet_pos,lemmatized
15,5,Very good,"['Very', 'good']",Very good,"['Very', 'good']","['very', 'good']","['very', 'good']",['good'],"[('good', 'JJ')]","[('good', 'a')]",['good']
16,5,Is mobile is the big size and RAM is always better and processor is very slow camera quality too good,"['Is', 'mobile', 'is', 'the', 'big', 'size', 'and', 'RAM', 'is', 'always', 'better', 'and', 'processor', 'is', 'very', 'slow', 'camera', 'quality', 'too', 'good']",Is mobile is the big size and RAM is always better and processor is very slow camera quality too good,"['Is', 'mobile', 'is', 'the', 'big', 'size', 'and', 'RAM', 'is', 'always', 'better', 'and', 'processor', 'is', 'very', 'slow', 'camera', 'quality', 'too', 'good']","['is', 'mobile', 'is', 'the', 'big', 'size', 'and', 'ram', 'is', 'always', 'better', 'and', 'processor', 'is', 'very', 'slow', 'camera', 'quality', 'too', 'good']","['is', 'mobile', 'is', 'the', 'big', 'size', 'and', 'ram', 'is', 'always', 'better', 'and', 'processor', 'is', 'very', 'slow', 'camera', 'quality', 'too', 'good']","['mobile', 'big', 'size', 'ram', 'always', 'better', 'processor', 'slow', 'camera', 'quality', 'good']","[('mobile', 'RB'), ('big', 'JJ'), ('size', 'NN'), ('ram', 'NN'), ('always', 'RB'), ('better', 'RBR'), ('processor', 'NN'), ('slow', 'JJ'), ('camera', 'NN'), ('quality', 'NN'), ('good', 'JJ')]","[('mobile', 'r'), ('big', 'a'), ('size', 'n'), ('ram', 'n'), ('always', 'r'), ('better', 'r'), ('processor', 'n'), ('slow', 'a'), ('camera', 'n'), ('quality', 'n'), ('good', 'a')]","['mobile', 'big', 'size', 'ram', 'always', 'well', 'processor', 'slow', 'camera', 'quality', 'good']"
17,2,Performance not good after 2 weeks mobile not working bad performance,"['Performance', 'not', 'good', 'after', '2', 'weeks', 'mobile', 'not', 'working', 'bad', 'performance']",Performance not good after 2 weeks mobile not working bad performance,"['Performance', 'not', 'good', 'after', '2', 'weeks', 'mobile', 'not', 'working', 'bad', 'performance']","['performance', 'not', 'good', 'after', '2', 'weeks', 'mobile', 'not', 'working', 'bad', 'performance']","['performance', 'not', 'good', 'after', '2', 'weeks', 'mobile', 'not', 'working', 'bad', 'performance']","['performance', 'good', '2', 'weeks', 'mobile', 'working', 'bad', 'performance']","[('performance', 'NN'), ('good', 'JJ'), ('2', 'CD'), ('weeks', 'NNS'), ('mobile', 'JJ'), ('working', 'VBG'), ('bad', 'JJ'), ('performance', 'NN')]","[('performance', 'n'), ('good', 'a'), ('2', 'n'), ('weeks', 'n'), ('mobile', 'a'), ('working', 'v'), ('bad', 'a'), ('performance', 'n')]","['performance', 'good', '2', 'week', 'mobile', 'work', 'bad', 'performance']"
18,4,Good produced,"['Good', 'produced']",Good produced,"['Good', 'produced']","['good', 'produced']","['good', 'produced']","['good', 'produced']","[('good', 'JJ'), ('produced', 'VBD')]","[('good', 'a'), ('produced', 'v')]","['good', 'produce']"
19,4,Value for money,"['Value', 'for', 'money']",Value for money,"['Value', 'for', 'money']","['value', 'for', 'money']","['value', 'for', 'money']","['value', 'money']","[('value', 'NN'), ('money', 'NN')]","[('value', 'n'), ('money', 'n')]","['value', 'money']"
20,4,Mobile is nice,"['Mobile', 'is', 'nice']",Mobile is nice,"['Mobile', 'is', 'nice']","['mobile', 'is', 'nice']","['mobile', 'is', 'nice']","['mobile', 'nice']","[('mobile', 'JJ'), ('nice', 'NN')]","[('mobile', 'a'), ('nice', 'n')]","['mobile', 'nice']"
21,5,It should be under 1000,"['It', 'should', 'be', 'under', '1000']",It should be under 1000,"['It', 'should', 'be', 'under', '1000']","['it', 'should', 'be', 'under', '1000']","['it', 'should', 'be', 'under', '1000']",['1000'],"[('1000', 'CD')]","[('1000', 'n')]",['1000']
22,5,Nice,['Nice'],Nice,['Nice'],['nice'],['nice'],['nice'],"[('nice', 'JJ')]","[('nice', 'a')]",['nice']
23,5,Am so happy,"['Am', 'so', 'happy']",Am so happy,"['Am', 'so', 'happy']","['am', 'so', 'happy']","['am', 'so', 'happy']",['happy'],"[('happy', 'JJ')]","[('happy', 'a')]",['happy']
24,5,"V good phone, must if you thinking then go for it..","['V', 'good', 'phone,', 'must', 'if', 'you', 'thinking', 'then', 'go', 'for', 'it..']","V good phone, must if you thinking then go for it..","['V', 'good', 'phone', ',', 'must', 'if', 'you', 'thinking', 'then', 'go', 'for', 'it..']","['v', 'good', 'phone', ',', 'must', 'if', 'you', 'thinking', 'then', 'go', 'for', 'it..']","['v', 'good', 'phone', 'must', 'if', 'you', 'thinking', 'then', 'go', 'for', 'it..']","['v', 'good', 'phone', 'must', 'thinking', 'go', 'it..']","[('v', 'RB'), ('good', 'JJ'), ('phone', 'NN'), ('must', 'MD'), ('thinking', 'VB'), ('go', 'VB'), ('it..', 'JJ')]","[('v', 'r'), ('good', 'a'), ('phone', 'n'), ('must', 'n'), ('thinking', 'v'), ('go', 'v'), ('it..', 'a')]","['v', 'good', 'phone', 'must', 'think', 'go', 'it..']"
25,5,Great phone in this range...,"['Great', 'phone', 'in', 'this', 'range...']",Great phone in this range...,"['Great', 'phone', 'in', 'this', 'range', '...']","['great', 'phone', 'in', 'this', 'range', '...']","['great', 'phone', 'in', 'this', 'range', '...']","['great', 'phone', 'range', '...']","[('great', 'JJ'), ('phone', 'NN'), ('range', 'NN'), ('...', ':')]","[('great', 'a'), ('phone', 'n'), ('range', 'n'), ('...', 'n')]","['great', 'phone', 'range', '...']"
26,5,Better product,"['Better', 'product']",Better product,"['Better', 'product']","['better', 'product']","['better', 'product']","['better', 'product']","[('better', 'JJR'), ('product', 'NN')]","[('better', 'a'), ('product', 'n')]","['good', 'product']"
27,5,Good... Buy it,"['Good...', 'Buy', 'it']",Good... Buy it,"['Good', '...', 'Buy', 'it']","['good', '...', 'buy', 'it']","['good', '...', 'buy', 'it']","['good', '...', 'buy']","[('good', 'JJ'), ('...', ':'), ('buy', 'VB')]","[('good', 'a'), ('...', 'n'), ('buy', 'v')]","['good', '...', 'buy']"
28,4,Good looking,"['Good', 'looking']",Good looking,"['Good', 'looking']","['good', 'looking']","['good', 'looking']","['good', 'looking']","[('good', 'JJ'), ('looking', 'VBG')]","[('good', 'a'), ('looking', 'v')]","['good', 'look']"
29,5,Ok,['Ok'],Ok,['Ok'],['ok'],['ok'],['ok'],"[('ok', 'NN')]","[('ok', 'n')]",['ok']
30,4,Nice product,"['Nice', 'product']",Nice product,"['Nice', 'product']","['nice', 'product']","['nice', 'product']","['nice', 'product']","[('nice', 'JJ'), ('product', 'NN')]","[('nice', 'a'), ('product', 'n')]","['nice', 'product']"
31,5,Best,['Best'],Best,['Best'],['best'],['best'],['best'],"[('best', 'JJS')]","[('best', 'a')]",['best']
32,4,Good,['Good'],Good,['Good'],['good'],['good'],['good'],"[('good', 'JJ')]","[('good', 'a')]",['good']
33,5,Vary nice,"['Vary', 'nice']",Vary nice,"['Vary', 'nice']","['vary', 'nice']","['vary', 'nice']","['vary', 'nice']","[('vary', 'JJ'), ('nice', 'NN')]","[('vary', 'a'), ('nice', 'n')]","['vary', 'nice']"
34,5,Nice take a look,"['Nice', 'take', 'a', 'look']",Nice take a look,"['Nice', 'take', 'a', 'look']","['nice', 'take', 'a', 'look']","['nice', 'take', 'a', 'look']","['nice', 'take', 'look']","[('nice', 'JJ'), ('take', 'VB'), ('look', 'NN')]","[('nice', 'a'), ('take', 'v'), ('look', 'n')]","['nice', 'take', 'look']"
35,5,Awesome Phone Infinix Note 7,"['Awesome', 'Phone', 'Infinix', 'Note', '7']",Awesome Phone Infinix Note 7,"['Awesome', 'Phone', 'Infinix', 'Note', '7']","['awesome', 'phone', 'infinix', 'note', '7']","['awesome', 'phone', 'infinix', 'note', '7']","['awesome', 'phone', 'infinix', 'note', '7']","[('awesome', 'JJ'), ('phone', 'NN'), ('infinix', 'JJ'), ('note', 'NN'), ('7', 'CD')]","[('awesome', 'a'), ('phone', 'n'), ('infinix', 'a'), ('note', 'n'), ('7', 'n')]","['awesome', 'phone', 'infinix', 'note', '7']"
36,5,Good smart phone at this price.,"['Good', 'smart', 'phone', 'at', 'this', 'price.']",Good smart phone at this price.,"['Good', 'smart', 'phone', 'at', 'this', 'price', '.']","['good', 'smart', 'phone', 'at', 'this', 'price', '.']","['good', 'smart', 'phone', 'at', 'this', 'price']","['good', 'smart', 'phone', 'price']","[('good', 'JJ'), ('smart', 'NN'), ('phone', 'NN'), ('price', 'NN')]","[('good', 'a'), ('smart', 'n'), ('phone', 'n'), ('price', 'n')]","['good', 'smart', 'phone', 'price']"
37,5,Good smartphone,"['Good', 'smartphone']",Good smartphone,"['Good', 'smartphone']","['good', 'smartphone']","['good', 'smartphone']","['good', 'smartphone']","[('good', 'JJ'), ('smartphone', 'NN')]","[('good', 'a'), ('smartphone', 'n')]","['good', 'smartphone']"
38,5,Best mobile in.this range,"['Best', 'mobile', 'in.this', 'range']",Best mobile in.this range,"['Best', 'mobile', 'in.this', 'range']","['best', 'mobile', 'in.this', 'range']","['best', 'mobile', 'in.this', 'range']","['best', 'mobile', 'in.this', 'range']","[('best', 'JJS'), ('mobile', 'NN'), ('in.this', 'NN'), ('range', 'NN')]","[('best', 'a'), ('mobile', 'n'), ('in.this', 'n'), ('range', 'n')]","['best', 'mobile', 'in.this', 'range']"
39,3,Nice,['Nice'],Nice,['Nice'],['nice'],['nice'],['nice'],"[('nice', 'JJ')]","[('nice', 'a')]",['nice']
40,5,Nice mobile,"['Nice', 'mobile']",Nice mobile,"['Nice', 'mobile']","['nice', 'mobile']","['nice', 'mobile']","['nice', 'mobile']","[('nice', 'RB'), ('mobile', 'NN')]","[('nice', 'r'), ('mobile', 'n')]","['nice', 'mobile']"
41,5,Good product,"['Good', 'product']",Good product,"['Good', 'product']","['good', 'product']","['good', 'product']","['good', 'product']","[('good', 'JJ'), ('product', 'NN')]","[('good', 'a'), ('product', 'n')]","['good', 'product']"
42,4,This phone not give real Note effect,"['This', 'phone', 'not', 'give', 'real', 'Note', 'effect']",This phone not give real Note effect,"['This', 'phone', 'not', 'give', 'real', 'Note', 'effect']","['this', 'phone', 'not', 'give', 'real', 'note', 'effect']","['this', 'phone', 'not', 'give', 'real', 'note', 'effect']","['phone', 'give', 'real', 'note', 'effect']","[('phone', 'NN'), ('give', 'JJ'), ('real', 'JJ'), ('note', 'NN'), ('effect', 'NN')]","[('phone', 'n'), ('give', 'a'), ('real', 'a'), ('note', 'n'), ('effect', 'n')]","['phone', 'give', 'real', 'note', 'effect']"
43,5,Suno mobile in this price,"['Suno', 'mobile', 'in', 'this', 'price']",Suno mobile in this price,"['Suno', 'mobile', 'in', 'this', 'price']","['suno', 'mobile', 'in', 'this', 'price']","['suno', 'mobile', 'in', 'this', 'price']","['suno', 'mobile', 'price']","[('suno', 'NN'), ('mobile', 'JJ'), ('price', 'NN')]","[('suno', 'n'), ('mobile', 'a'), ('price', 'n')]","['suno', 'mobile', 'price']"
44,4,not bad,"['not', 'bad']",not bad,"['not', 'bad']","['not', 'bad']","['not', 'bad']",['bad'],"[('bad', 'JJ')]","[('bad', 'a')]",['bad']
45,3,Some time it's back switch not working.. heating problem and battery backup not like 5000mh..,"['Some', 'time', 'it is', 'back', 'switch', 'not', 'working..', 'heating', 'problem', 'and', 'battery', 'backup', 'not', 'like', '5000mh..']",Some time it is back switch not working.. heating problem and battery backup not like 5000mh..,"['Some', 'time', 'it', 'is', 'back', 'switch', 'not', 'working..', 'heating', 'problem', 'and', 'battery', 'backup', 'not', 'like', '5000mh..']","['some', 'time', 'it', 'is', 'back', 'switch', 'not', 'working..', 'heating', 'problem', 'and', 'battery', 'backup', 'not', 'like', '5000mh..']","['some', 'time', 'it', 'is', 'back', 'switch', 'not', 'working..', 'heating', 'problem', 'and', 'battery', 'backup', 'not', 'like', '5000mh..']","['time', 'back', 'switch', 'working..', 'heating', 'problem', 'battery', 'backup', 'like', '5000mh..']","[('time', 'NN'), ('back', 'RP'), ('switch', 'NN'), ('working..', 'NN'), ('heating', 'NN'), ('problem', 'NN'), ('battery', 'NN'), ('backup', 'NN'), ('like', 'IN'), ('5000mh..', 'CD')]","[('time', 'n'), ('back', 'r'), ('switch', 'n'), ('working..', 'n'), ('heating', 'n'), ('problem', 'n'), ('battery', 'n'), ('backup', 'n'), ('like', 'n'), ('5000mh..', 'n')]","['time', 'back', 'switch', 'working..', 'heating', 'problem', 'battery', 'backup', 'like', '5000mh..']"
46,5,"Infinix note7 is a Budget smartphone, all over good experience not bad in this range 9900 INR. This review buying after one month.","['Infinix', 'note7', 'is', 'a', 'Budget', 'smartphone,', 'all', 'over', 'good', 'experience', 'not', 'bad', 'in', 'this', 'range', '9900', 'INR.', 'This', 'review', 'buying', 'after', 'one', 'month.']","Infinix note7 is a Budget smartphone, all over good experience not bad in this range 9900 INR. This review buying after one month.","['Infinix', 'note7', 'is', 'a', 'Budget', 'smartphone', ',', 'all', 'over', 'good', 'experience', 'not', 'bad', 'in', 'this', 'range', '9900', 'INR', '.', 'This', 'review', 'buying', 'after', 'one', 'month', '.']","['infinix', 'note7', 'is', 'a', 'budget', 'smartphone', ',', 'all', 'over', 'good', 'experience', 'not', 'bad', 'in', 'this', 'range', '9900', 'inr', '.', 'this', 'review', 'buying', 'after', 'one', 'month', '.']","['infinix', 'note7', 'is', 'a', 'budget', 'smartphone', 'all', 'over', 'good', 'experience', 'not', 'bad', 'in', 'this', 'range', '9900', 'inr', 'this', 'review', 'buying', 'after', 'one', 'month']","['infinix', 'note7', 'budget', 'smartphone', 'good', 'experience', 'bad', 'range', '9900', 'inr', 'review', 'buying', 'one', 'month']","[('infinix', 'JJ'), ('note7', 'JJ'), ('budget', 'NN'), ('smartphone', 'NN'), ('good', 'JJ'), ('experience', 'NN'), ('bad', 'JJ'), ('range', 'NN'), ('9900', 'CD'), ('inr', 'NN'), ('review', 'NN'), ('buying', 'VBG'), ('one', 'CD'), ('month', 'NN')]","[('infinix', 'a'), ('note7', 'a'), ('budget', 'n'), ('smartphone', 'n'), ('good', 'a'), ('experience', 'n'), ('bad', 'a'), ('range', 'n'), ('9900', 'n'), ('inr', 'n'), ('review', 'n'), ('buying', 'v'), ('one', 'n'), ('month', 'n')]","['infinix', 'note7', 'budget', 'smartphone', 'good', 'experience', 'bad', 'range', '9900', 'inr', 'review', 'buy', 'one', 'month']"
47,5,Good very oll 5 star,"['Good', 'very', 'oll', '5', 'star']",Good very oll 5 star,"['Good', 'very', 'oll', '5', 'star']","['good', 'very', 'oll', '5', 'star']","['good', 'very', 'oll', '5', 'star']","['good', 'oll', '5', 'star']","[('good', 'JJ'), ('oll', 'NN'), ('5', 'CD'), ('star', 'NN')]","[('good', 'a'), ('oll', 'n'), ('5', 'n'), ('star', 'n')]","['good', 'oll', '5', 'star']"
48,5,Very very nice Excellent mobile tq flpcart,"['Very', 'very', 'nice', 'Excellent', 'mobile', 'tq', 'flpcart']",Very very nice Excellent mobile tq flpcart,"['Very', 'very', 'nice', 'Excellent', 'mobile', 'tq', 'flpcart']","['very', 'very', 'nice', 'excellent', 'mobile', 'tq', 'flpcart']","['very', 'very', 'nice', 'excellent', 'mobile', 'tq', 'flpcart']","['nice', 'excellent', 'mobile', 'tq', 'flpcart']","[('nice', 'JJ'), ('excellent', 'NN'), ('mobile', 'JJ'), ('tq', 'NNS'), ('flpcart', 'VBP')]","[('nice', 'a'), ('excellent', 'n'), ('mobile', 'a'), ('tq', 'n'), ('flpcart', 'v')]","['nice', 'excellent', 'mobile', 'tq', 'flpcart']"
49,5,Fantastic mobile for all the aspects.performance is best.simply fine .,"['Fantastic', 'mobile', 'for', 'all', 'the', 'aspects.performance', 'is', 'best.simply', 'fine', '.']",Fantastic mobile for all the aspects.performance is best.simply fine .,"['Fantastic', 'mobile', 'for', 'all', 'the', 'aspects.performance', 'is', 'best.simply', 'fine', '.']","['fantastic', 'mobile', 'for', 'all', 'the', 'aspects.performance', 'is', 'best.simply', 'fine', '.']","['fantastic', 'mobile', 'for', 'all', 'the', 'aspects.performance', 'is', 'best.simply', 'fine']","['fantastic', 'mobile', 'aspects.performance', 'best.simply', 'fine']","[('fantastic', 'JJ'), ('mobile', 'JJ'), ('aspects.performance', 'NN'), ('best.simply', 'NN'), ('fine', 'JJ')]","[('fantastic', 'a'), ('mobile', 'a'), ('aspects.performance', 'n'), ('best.simply', 'n'), ('fine', 'a')]","['fantastic', 'mobile', 'aspects.performance', 'best.simply', 'fine']"
50,4,Nice 👌 bought phone but display is vary big,"['Nice', '👌', 'bought', 'phone', 'but', 'display', 'is', 'vary', 'big']",Nice 👌 bought phone but display is vary big,"['Nice', '👌', 'bought', 'phone', 'but', 'display', 'is', 'vary', 'big']","['nice', '👌', 'bought', 'phone', 'but', 'display', 'is', 'vary', 'big']","['nice', '👌', 'bought', 'phone', 'but', 'display', 'is', 'vary', 'big']","['nice', '👌', 'bought', 'phone', 'display', 'vary', 'big']","[('nice', 'JJ'), ('👌', 'NNP'), ('bought', 'VBD'), ('phone', 'NN'), ('display', 'NN'), ('vary', 'VBP'), ('big', 'JJ')]","[('nice', 'a'), ('👌', 'n'), ('bought', 'v'), ('phone', 'n'), ('display', 'n'), ('vary', 'v'), ('big', 'a')]","['nice', '👌', 'buy', 'phone', 'display', 'vary', 'big']"
51,2,Infinix note 7,"['Infinix', 'note', '7']",Infinix note 7,"['Infinix', 'note', '7']","['infinix', 'note', '7']","['infinix', 'note', '7']","['infinix', 'note', '7']","[('infinix', 'JJ'), ('note', 'NN'), ('7', 'CD')]","[('infinix', 'a'), ('note', 'n'), ('7', 'n')]","['infinix', 'note', '7']"
52,4,Not bad superb phone this price 👌,"['Not', 'bad', 'superb', 'phone', 'this', 'price', '👌']",Not bad superb phone this price 👌,"['Not', 'bad', 'superb', 'phone', 'this', 'price', '👌']","['not', 'bad', 'superb', 'phone', 'this', 'price', '👌']","['not', 'bad', 'superb', 'phone', 'this', 'price', '👌']","['bad', 'superb', 'phone', 'price', '👌']","[('bad', 'JJ'), ('superb', 'NN'), ('phone', 'NN'), ('price', 'NN'), ('👌', 'NN')]","[('bad', 'a'), ('superb', 'n'), ('phone', 'n'), ('price', 'n'), ('👌', 'n')]","['bad', 'superb', 'phone', 'price', '👌']"
53,5,Nice mobile by now,"['Nice', 'mobile', 'by', 'now']",Nice mobile by now,"['Nice', 'mobile', 'by', 'now']","['nice', 'mobile', 'by', 'now']","['nice', 'mobile', 'by', 'now']","['nice', 'mobile']","[('nice', 'RB'), ('mobile', 'NN')]","[('nice', 'r'), ('mobile', 'n')]","['nice', 'mobile']"
